Number,User,Date Submitted,Country,Device,Browser,OS,Ako ste spokojní s našimi Paušálmi Go na škále 1-5?,"Prosím, opíšte prečo. Je to pre nás veľmi dôležité."
636,0,23/03/2020 11:37,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
637,0,23/03/2020 11:45,Slovakia,desktop,Firefox 74.0,Windows 10,1,
638,e180fc52,23/03/2020 11:53,Czechia,desktop,Chrome 80.0.3987,Windows 10,4,
639,0,23/03/2020 11:56,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,"Prijateľná cena, dobré pokrytie, rýchly LTE internet, VoLTE"
640,0,23/03/2020 11:57,Slovakia,desktop,Chrome 80.0.3987,Windows 7,,
641,0,23/03/2020 12:00,Slovakia,phone,Chrome Mobile 80.0.3987,Android,3,Nic
642,0,23/03/2020 12:07,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
643,0,23/03/2020 12:18,Slovakia,phone,Chrome Mobile 80.0.3987,Android 6.0,4,Poslednú dobu dovolať sa niekomu
644,0,23/03/2020 12:21,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
645,0,23/03/2020 12:40,Slovakia,phone,Chrome Mobile 80.0.3987,Android,2,
646,0,23/03/2020 12:41,Slovakia,phone,Chrome Mobile 77.0.3865,Android,,
647,0,23/03/2020 13:01,Slovakia,desktop,Safari 13.0.5,Mac OS X 10.15,,
648,0,23/03/2020 13:07,Slovakia,tablet,Chrome Mobile WebView 52.0.2743,Android 7.1.2,1,:
649,0,23/03/2020 13:08,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
650,0,23/03/2020 13:10,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,
651,0,23/03/2020 13:11,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
652,0,23/03/2020 13:23,Slovakia,phone,Mobile Safari 13.0.5,iOS 13.3.1,3,Neviem sa spojiť s operátorom 
653,0,23/03/2020 13:23,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
654,0,23/03/2020 13:30,Slovakia,tablet,Chrome 80.0.3987,Android 5.0.1,4,
655,0,23/03/2020 13:38,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
656,0,23/03/2020 13:42,Slovakia,desktop,Firefox 74.0,Windows 10,,
657,0,23/03/2020 13:58,Slovakia,tablet,Chrome 80.0.3987,Android 7.0,5,
658,0,23/03/2020 13:58,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,Zda sa mi 250MB na mesiac málo.
659,0,23/03/2020 14:01,Slovakia,desktop,Firefox 52.0,Windows XP,4,
660,0,23/03/2020 14:01,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,cena vysoká
661,0,23/03/2020 14:04,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
662,0,23/03/2020 14:07,Slovakia,desktop,Safari 13.0.5,Mac OS X 10.15,4,spolahlivost
663,0,23/03/2020 14:12,Slovakia,phone,Chrome Mobile 80.0.3987,Android,4,
664,0,23/03/2020 14:13,Slovakia,desktop,IE 11.0,Windows 7,,
665,0,23/03/2020 14:15,Slovakia,desktop,Edge 18.18362,Windows 10,3,
666,0,23/03/2020 14:25,Slovakia,desktop,Chrome 80.0.3987,Windows 8.1,4,
667,0,23/03/2020 14:43,Slovakia,desktop,Chrome 80.0.3987,Windows 7,4,
668,0,23/03/2020 14:44,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,
669,0,23/03/2020 14:54,Germany,desktop,Chrome 80.0.3987,Windows 10,3,
670,0,23/03/2020 15:21,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,"Dobrý deň,
vypadáva u nás signál a veľa krát je zrušený hovor
"
671,0,23/03/2020 15:22,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
672,0,23/03/2020 15:28,Slovakia,phone,Chrome Mobile 74.0.3729,Android,,
673,0,23/03/2020 15:30,Austria,desktop,Chrome 80.0.3987,Windows 7,3,
674,0,23/03/2020 15:32,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,1,
675,0,23/03/2020 15:41,Slovakia,tablet,Chrome 80.0.3987,Android,1,
676,0,23/03/2020 15:43,Slovakia,desktop,Chrome 80.0.3987,Windows 8.1,,
677,0,23/03/2020 15:46,Slovakia,phone,Chrome Mobile 80.0.3987,Android,,
678,0,23/03/2020 15:56,Slovakia,phone,Samsung Internet 11.1,Android,2,Lebo
679,0,23/03/2020 16:16,Slovakia,desktop,Chrome 80.0.3987,Windows 8.1,,
680,0,23/03/2020 16:29,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
681,0,23/03/2020 16:31,Slovakia,phone,Facebook 262.0.0,Android 8.0.0,5,
682,0,23/03/2020 16:37,Slovakia,desktop,Firefox 74.0,Windows 10,3,Nemám go paušál
683,0,23/03/2020 16:42,Slovakia,phone,Facebook 262.0.0,Android,3,
684,0,23/03/2020 16:45,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
685,0,23/03/2020 16:46,Slovakia,desktop,Edge 18.18363,Windows 10,4,
686,0,23/03/2020 16:47,Slovakia,phone,Chrome Mobile 80.0.3987,Android,3,Tak mate slabú ponuku na 10 e pausalu...100 minút je ozaj malo ale hl.tych 250 e dát...ved to je nič...trosku by ste mohli pridať...a uz pri 20 e je to skoro to iste co pri 30 e a vyššie 
687,0,23/03/2020 16:53,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4, 
688,0,23/03/2020 16:55,Slovakia,desktop,Chrome 80.0.3987,Mac OS X 10.14.6,5,dostupnost siete a internetu
689,0,23/03/2020 17:00,Bosnia and Herzegovina,desktop,Chrome 80.0.3987,Windows 10,1,
690,0,23/03/2020 17:28,Slovakia,desktop,Firefox 74.0,Windows 10,4,
691,0,23/03/2020 17:49,Slovakia,tablet,Chrome 80.0.3987,Android,3,Ako klient 22 rokov v e by som čakala väčší benefit za lojalnost
692,0,23/03/2020 17:52,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,2,Čakám už dlhšie na ponuku od e pre seba a pre manželku. Obaja chcem go10 plus internet spomalenou rýchlosťou za 1 euro. Vychádza to za 11 eur. Sme ochotní podpísať aj viazanosť ak dostaneme zľavu na paušál . DAKUJEME a čakáme na ponuku
693,0,23/03/2020 17:52,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.0.0,3,
694,0,23/03/2020 17:55,Slovakia,tablet,Chrome 80.0.3987,Android 8.0.0,,
695,0,23/03/2020 18:28,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.0.0,2,Za paušal v hodnote 30 eur je malo dat na internet
696,0,23/03/2020 18:30,Slovakia,desktop,Firefox 74.0,Windows 10,4,
697,0,23/03/2020 18:33,Slovakia,phone,Chrome Mobile iOS 80.0.3987,iOS 13.3,5,
698,0,23/03/2020 18:35,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
699,0,23/03/2020 18:35,Slovakia,desktop,Firefox 74.0,Windows 8.1,5,vyhovuje
700,0,23/03/2020 18:45,Slovakia,desktop,Opera 49.0.2725,Mac OS X 10.9.5,3,
701,0,23/03/2020 19:11,Slovakia,desktop,Edge 18.18362,Windows 10,,
702,0,23/03/2020 19:14,Austria,phone,Chrome Mobile 80.0.3987,Android,5,Môžem otázku? 
703,0,23/03/2020 19:29,Slovakia,desktop,Firefox 74.0,Windows 10,,
704,0,23/03/2020 19:33,Slovakia,desktop,Safari 13.0.5,Mac OS X 10.13.6,3,
705,0,23/03/2020 19:38,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,,
706,0,23/03/2020 19:46,Germany,desktop,Chrome 80.0.3987,Windows 10,5,   
707,0,23/03/2020 19:46,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,
708,0,23/03/2020 19:59,Slovakia,desktop,Maxthon 4.4.4,Windows 7,4,
709,0,23/03/2020 20:02,Slovakia,phone,Chrome Mobile 79.0.3945,Android 5.1.1,2,
710,0,23/03/2020 20:02,Slovakia,desktop,Chrome 80.0.3987,Windows 7,,
711,0,23/03/2020 20:13,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
712,0,23/03/2020 20:30,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
713,0,23/03/2020 20:40,Slovakia,phone,Chrome Mobile 71.0.3578,Android,5,Rozumná cena a vihovujuce služby
714,0,23/03/2020 20:58,Slovakia,desktop,Chrome 80.0.3987,Windows 7,,
715,0,23/03/2020 20:59,Slovakia,phone,Samsung Internet 11.1,Android 7.0,5,Bolo mi povedane ze sa pocas celaj doby viazanosti pri dohodnutych sluzbach nebude cena menit no zmenila sa...
716,0,23/03/2020 21:06,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
717,0,23/03/2020 22:21,Slovakia,phone,Chrome Mobile 71.0.3578,Android,5,Mám záujem o tento pausal
718,0,23/03/2020 22:23,Slovakia,phone,Chrome Mobile iOS 80.0.3987,iOS 13.3,5,"Veľký Balík dat, sluzba navzájom zadarmo, nekonečne hovory..."
719,0,23/03/2020 23:44,Slovakia,phone,Mobile Safari 7.0,iOS 7.1.2,4,
720,0,24/03/2020 02:53,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
721,0,24/03/2020 05:07,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
722,0,24/03/2020 05:20,Slovakia,tablet,Chrome 80.0.3987,Android 8.1.0,3,
723,0,24/03/2020 06:11,Slovakia,desktop,Chrome 80.0.3987,Windows 7,3,"Neviem si cez internet aktivovať 3 čísla, ktoré k môjmu paušálu mám mať zadarmo, ďakujem"
724,0,24/03/2020 06:25,Slovakia,desktop,Edge 18.18363,Windows 10,3,
725,0,24/03/2020 06:46,Slovakia,desktop,IE 11.0,Windows 10,,
726,0,24/03/2020 07:19,Slovakia,desktop,Firefox 74.0,Windows 10,5,ponuka funkcie ktore vyuzivam
727,0,24/03/2020 07:27,Slovakia,tablet,Chrome 80.0.3987,Android,3,
728,0,24/03/2020 07:36,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,Málo dát
729,0,24/03/2020 07:58,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,
730,0,24/03/2020 08:09,Slovakia,desktop,Firefox 74.0,Windows 10,,
731,0,24/03/2020 08:10,Slovakia,desktop,Chrome 80.0.3987,Windows 7,2,
732,0,24/03/2020 08:10,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
733,0,24/03/2020 08:21,Slovakia,phone,Chrome Mobile 80.0.3987,Android,4,
734,0,24/03/2020 08:22,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
735,0,24/03/2020 08:25,Slovakia,desktop,Firefox 74.0,Windows 10,4,
736,0,24/03/2020 08:27,Slovakia,desktop,Chrome 80.0.3987,Windows 7,3,
737,0,24/03/2020 08:44,Slovakia,desktop,Firefox 74.0,Windows 7,1,"lebo pri aktivácie nového programu GO neinformujú zákazníka že nebude mocť 
požívať telefón takže telefón a vás nový paušál mu je na jedno                                                      /na hovno/
ak mate otázky zavolajte na č.0905413359
    "
738,0,24/03/2020 08:55,Slovakia,phone,Chrome Mobile 74.0.3729,Android,3,Chcem si preniest cislo z 02 do u a chcem internet do mobilu bez zariadenia ake mate ponuky
739,0,24/03/2020 08:57,Slovakia,desktop,Safari 13.0.5,Mac OS X 10.15.3,,
740,0,24/03/2020 08:58,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,potrebujem poradiť telefonicky sa spýtať a nedá sa dovolať
741,0,24/03/2020 09:27,Czechia,desktop,Chrome 80.0.3987,Windows 8.1,2,
742,0,24/03/2020 09:29,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,
743,0,24/03/2020 09:35,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
744,0,24/03/2020 09:39,Slovakia,desktop,Chrome 49.0.2623,Windows XP,3,Nie vsade mate dobrý signnál 
745,0,24/03/2020 09:44,Slovakia,desktop,Firefox 74.0,Windows 10,5,
746,0,24/03/2020 09:57,Slovakia,desktop,Firefox 72.0,Windows 7,,
747,0,24/03/2020 10:01,Hungary,desktop,Chrome 80.0.3987,Windows 10,,
748,0,24/03/2020 10:05,Slovakia,desktop,Chrome 80.0.3987,Windows 7,5,
749,0,24/03/2020 10:07,Slovakia,desktop,Chrome 80.0.3987,Windows 7,3,
750,0,24/03/2020 10:16,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.0.0,,
751,0,24/03/2020 10:32,Slovakia,phone,Chrome Mobile 78.0.3904,Android,1,Vždy dostupný 
752,0,24/03/2020 10:32,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
753,0,24/03/2020 10:32,Slovakia,tablet,Facebook 262.0.0,Android 7.1.1,3,
754,0,24/03/2020 10:34,Slovakia,tablet,Chrome 76.0.3809,Android 8.0.0,3,
755,0,24/03/2020 10:35,Slovakia,phone,Chrome Mobile 80.0.3987,Android 6.0.1,2,
756,0,24/03/2020 11:08,Slovakia,desktop,Safari 13.0.5,Mac OS X 10.14.6,1,",.."
757,0,24/03/2020 11:13,Slovakia,desktop,Firefox 74.0,Windows 8.1,3,
758,0,24/03/2020 11:20,Italy,desktop,IE 11.0,Windows 10,3,
759,0,24/03/2020 11:22,Slovakia,phone,Chrome Mobile 80.0.3987,Android,2,
760,0,24/03/2020 11:36,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
761,0,24/03/2020 12:05,Slovakia,desktop,Chrome 80.0.3987,Windows 7,4,
762,0,24/03/2020 12:05,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
763,0,24/03/2020 12:11,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
764,0,24/03/2020 12:18,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
765,0,24/03/2020 12:19,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,2,V
766,0,24/03/2020 12:27,Slovakia,desktop,Edge 18.18362,Windows 10,5,
767,0,24/03/2020 12:29,Slovakia,desktop,Chrome 80.0.3987,Windows 7,,
768,0,24/03/2020 12:33,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,
769,0,24/03/2020 12:34,Slovakia,desktop,Firefox 74.0,Windows 10,3,"v prvom rade, by som bol velmi rad, keby ste mi konecne zavolali!!!! "
770,0,24/03/2020 12:48,Slovakia,phone,Chrome Mobile 80.0.3987,Android,5,Vyhovuje to mojim potrebám. 
771,0,24/03/2020 12:56,Slovakia,desktop,Opera 67.0.3575,Windows 10,,
772,0,24/03/2020 13:00,Slovakia,desktop,Chrome 80.0.3987,Windows 7,4,"pretože často som v zahraničí a objem dát mi niekedy nepostačuje.. preto sa obzerám, kde by moje požiadavky boli najlepšie spracované, za nejakú rozumnú cenu..trošku dlhodobejšie sondujem trh.."
773,0,24/03/2020 13:13,Slovakia,phone,Facebook 262.0.0,Android 8.0.0,3,
774,0,24/03/2020 13:23,Slovakia,phone,Chrome Mobile iOS 80.0.3987,iOS 12.4,,
775,0,24/03/2020 13:26,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
776,0,24/03/2020 13:28,Slovakia,phone,Chrome Mobile 71.0.3578,Android,5,Bezproblémové fungovanie
777,0,24/03/2020 13:34,Slovakia,desktop,Chrome 79.0.3945,Windows 10,,
778,0,24/03/2020 13:34,Slovakia,desktop,Chrome 79.0.3945,Windows 10,5,
779,0,24/03/2020 13:50,Slovakia,desktop,Opera 67.0.3575,Windows 10,,
780,0,24/03/2020 13:53,Slovakia,tablet,Mobile Safari 12.1.2,iOS 12.4.5,,
781,0,24/03/2020 13:53,Slovakia,phone,Mobile Safari 13.0.5,iOS 13.3.1,,
782,0,24/03/2020 13:56,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,
783,0,24/03/2020 14:00,Slovakia,phone,Samsung Internet 11.1,Android 8.0.0,5,Bezproblémové fungovanie 
784,0,24/03/2020 14:06,Slovakia,desktop,Firefox 74.0,Windows 10,3,
785,0,24/03/2020 14:10,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
786,0,24/03/2020 14:13,Slovakia,phone,Mobile Safari 13.0.5,iOS 13.3.1,5,
787,0,24/03/2020 14:28,Slovakia,desktop,Opera 67.0.3575,Windows 10,3,Vysoká cena
788,0,24/03/2020 14:36,Slovakia,desktop,Chrome 80.0.3987,Chrome OS 12739.105.0,,
789,0,24/03/2020 14:37,Switzerland,desktop,Chrome 80.0.3987,Windows 10,4,"Pretoze mozem volat v rámci EU
"
790,0,24/03/2020 14:47,Slovakia,desktop,Opera 67.0.3575,Windows 8.1,,
791,0,24/03/2020 14:49,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3, 
792,0,24/03/2020 15:14,Slovakia,desktop,Firefox 75.0,Windows 7,3,
793,0,24/03/2020 15:19,Slovakia,desktop,Firefox 74.0,Windows 8.1,,
794,0,24/03/2020 15:31,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,lebo nemam vašu službu
795,7655a779,24/03/2020 15:39,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
796,0,24/03/2020 15:51,Slovakia,phone,Chrome Mobile 80.0.3987,Android,4,
797,0,24/03/2020 16:07,Slovakia,phone,Firefox Mobile 68.0,Android,4,
798,0,24/03/2020 16:14,Slovakia,phone,Chrome Mobile 71.0.3578,Android,5,"Starostlivosť o klienta. A mám internet aj tam kde som s inými operátormi nemal.

Ďakujem"
799,0,24/03/2020 16:25,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.0.0,5,Pre non stop do všetkých sietí tiež sms a mms
800,0,24/03/2020 16:31,Slovakia,phone,Facebook 262.0.0,Android,5,Angelika CINGELOVA 
801,0,24/03/2020 16:36,Slovakia,desktop,Chrome 80.0.3987,Windows 7,,
802,0,24/03/2020 16:56,Slovakia,desktop,Firefox 74.0,Windows 10,5,
803,0,24/03/2020 16:58,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,
804,0,24/03/2020 17:18,Slovakia,desktop,Firefox 74.0,Windows 10,,
805,0,24/03/2020 17:18,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
806,0,24/03/2020 17:22,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
807,0,24/03/2020 17:42,Slovakia,phone,Facebook 262.0.0,Android,3,
808,0,24/03/2020 18:13,Slovakia,desktop,Chrome 80.0.3987,Windows 8,5,vyhovuje mi
809,0,24/03/2020 18:14,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
810,0,24/03/2020 18:18,Slovakia,desktop,Chrome 49.0.2623,Windows Vista,5,dobra cena
811,0,24/03/2020 18:40,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
812,0,24/03/2020 18:47,Slovakia,phone,Samsung Internet 10.2,Android 7.0,3,X
813,0,24/03/2020 18:50,Slovakia,desktop,Firefox 74.0,Windows 10,,
814,0,24/03/2020 19:01,Slovakia,desktop,Chrome 76.0.3809,Chrome OS 12239.92.0,,
815,0,24/03/2020 19:05,Slovakia,desktop,Chrome 80.0.3987,Windows 7,4,
816,0,24/03/2020 19:23,Slovakia,desktop,Safari 13.0.5,Mac OS X 10.15.3,3,
817,0,24/03/2020 19:30,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,
818,0,24/03/2020 19:44,Slovakia,desktop,Firefox 74.0,Windows 10,,
819,0,24/03/2020 19:53,Slovakia,phone,Facebook 262.0.0,Android,5,"niesom v e, ale cenovo mi je to blizsie, takze zvazujem prenos cisla ku vam"
820,0,24/03/2020 19:56,Slovakia,desktop,Firefox 74.0,Windows 10,2,cena
821,0,24/03/2020 19:58,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
822,0,24/03/2020 20:14,Slovakia,desktop,Chrome 80.0.3987,Windows 7,,
823,0,24/03/2020 20:14,Slovakia,desktop,Chrome 80.0.3987,Windows 7,1,Málo dát k paušalom
824,0,24/03/2020 20:27,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,"Dobrý deň, momentálne mi skončila viazanosť a rozmýšlam nad výberom nového paušálu. Len zatiaľ u iného operátora mi ponúkajú výhodnejší paušál čo sa týka pomer cena/služby. Hlavne pri objeme dát. No nerád by som opustil e. "
825,0,24/03/2020 20:41,Slovakia,tablet,Chrome 78.0.3904,Android,5,"Dobra cena, ok signal"
826,0,24/03/2020 20:55,Slovakia,tablet,Chrome 80.0.3987,Android,3,Čo prečo? 
827,0,24/03/2020 21:01,Slovakia,phone,Mobile Safari 13.3,iOS 13.3,,
828,0,24/03/2020 21:04,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,3,
829,0,24/03/2020 21:23,Slovakia,desktop,Chrome 80.0.3987,Windows 7,1,"Volania, sms v poriadku, pokrytie siete dostatočné, no málo neobmedzeného internetu a zbytočne vysoká cena paušálu."
830,0,24/03/2020 21:24,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
831,0,24/03/2020 21:46,Slovakia,phone,Chrome Mobile 80.0.3987,Android,,
832,0,24/03/2020 22:09,Slovakia,phone,Samsung Internet 11.0,Android,3,Mohlo by mať paušál viac variácii.
833,0,24/03/2020 22:17,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.1.0,1,
834,0,24/03/2020 22:29,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,vernostná zľava
835,0,24/03/2020 22:36,Slovakia,phone,Chrome Mobile 80.0.3987,Android,3,
836,0,24/03/2020 23:46,Slovakia,desktop,Firefox 74.0,Windows 10,,
837,0,25/03/2020 00:03,Slovakia,phone,Facebook 262.0.0,Android 6.0.1,,
838,0,25/03/2020 05:12,Slovakia,tablet,Chrome 80.0.3987,Android 7.0,,
839,0,25/03/2020 05:21,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
840,0,25/03/2020 05:22,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,
841,0,25/03/2020 06:05,Slovakia,desktop,Safari 13.0.5,Mac OS X 10.15,1,"Spolocnost  mi opakovane ponuka vyhodny pausal za 17,50  s neobmedzenymi datami"
842,0,25/03/2020 06:23,Slovakia,desktop,Firefox 74.0,Windows 10,3,
843,0,25/03/2020 06:39,Slovakia,desktop,Samsung Internet 11.0,Linux,3,Malo dat ponukate ku GO pausalom.
844,0,25/03/2020 06:56,Slovakia,phone,Chrome Mobile 80.0.3987,Android,,
845,0,25/03/2020 07:10,Slovakia,phone,Chrome Mobile 80.0.3987,Android,,
846,0,25/03/2020 07:21,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.0.0,3,
847,0,25/03/2020 07:24,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
848,0,25/03/2020 07:32,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
849,0,25/03/2020 07:33,Slovakia,desktop,Firefox 74.0,Windows 10,,
850,0,25/03/2020 07:35,Poland,desktop,Chrome 80.0.3987,Windows 10,,
851,0,25/03/2020 07:47,Slovakia,desktop,Chrome 80.0.3987,Windows 7,,
852,0,25/03/2020 07:55,Slovakia,phone,Opera Mobile 56.1.2780,Android,,
853,0,25/03/2020 07:56,Slovakia,desktop,Chrome 80.0.3987,Windows 7,,
854,0,25/03/2020 08:04,Slovakia,phone,Facebook 262.0.0,Android 8.0.0,4,
855,0,25/03/2020 08:08,Slovakia,desktop,Chrome 80.0.3987,Windows 7,4,Zatiaľ som spokojný so signálom a spojením. Stáli zákazníci by mohli mať možno lepšie výhody.
856,0,25/03/2020 08:09,Slovakia,phone,Chrome Mobile 55.0.2883,Android 5.1.1,5,
857,0,25/03/2020 08:15,Slovakia,desktop,Firefox 74.0,Windows 7,2,
858,0,25/03/2020 08:26,Slovakia,desktop,Firefox 74.0,Windows 10,3,
859,0,25/03/2020 08:27,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
860,0,25/03/2020 08:32,Slovakia,phone,Facebook 262.0.0,Android 8.1.0,2,
861,0,25/03/2020 08:33,Slovakia,desktop,Firefox 74.0,Windows 8.1,4,SPOLAHLIVOST A PRISTUP
862,0,25/03/2020 08:47,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.1.1,3,
863,0,25/03/2020 08:54,Slovakia,phone,Chrome Mobile 80.0.3987,Android,5,Žiaden problem zo sietou. Upozornenie pro precerpani dat 
864,0,25/03/2020 08:56,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
865,0,25/03/2020 09:07,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
866,0,25/03/2020 09:14,Slovakia,desktop,Opera 67.0.3575,Windows 7,1,
867,0,25/03/2020 09:23,Slovakia,desktop,Edge 17.17134,Windows 10,5,
868,0,25/03/2020 09:27,Slovakia,phone,Chrome Mobile 80.0.3987,Android,,
869,0,25/03/2020 09:47,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,Veľmi málo dát v rámci paušálu. Mohli by ste zvýhodňovať aspoň dlhoročných - verných zákazníkov!!!
870,0,25/03/2020 09:52,Slovakia,desktop,Chrome 80.0.3987,Windows 7,3,"po prečerpaní dát internet nie je takmer možné používať, napriek tomu, že deklarujete jeho použiteľnosť"
871,0,25/03/2020 09:52,Slovakia,phone,Samsung Internet 9.4,Android 6.0.1,5,
872,0,25/03/2020 09:59,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,xxx
873,0,25/03/2020 09:59,Slovakia,desktop,Chrome 80.0.3987,Windows 8.1,,
874,0,25/03/2020 10:18,Slovakia,desktop,Firefox 74.0,Windows 10,,
875,0,25/03/2020 10:33,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
876,0,25/03/2020 10:35,Slovakia,tablet,Mobile Safari 13.0.5,iOS 13.3.1,,
877,0,25/03/2020 10:51,Slovakia,desktop,Opera 67.0.3575,Windows 10,,
878,0,25/03/2020 10:51,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,paušaly su super 
879,0,25/03/2020 10:58,Slovakia,desktop,Chrome 80.0.3987,Windows 7,5,
880,0,25/03/2020 10:58,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,
881,0,25/03/2020 11:14,Slovakia,desktop,Chrome 79.0.3945,Mac OS X 10.13.6,2,
882,0,25/03/2020 11:24,Slovakia,desktop,Chrome 80.0.3987,Mac OS X 10.15.4,,
883,0,25/03/2020 11:29,Slovakia,desktop,Firefox 74.0,Windows 10,5,
884,0,25/03/2020 11:31,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
885,0,25/03/2020 11:40,Slovakia,desktop,Chrome 80.0.3987,Windows 7,,
886,0,25/03/2020 11:40,Slovakia,desktop,Firefox 52.0,Windows XP,5, Nemusím sa starať koľko prevolám.
887,0,25/03/2020 11:55,Slovakia,desktop,Chrome 80.0.3987,Windows 7,,
888,0,25/03/2020 12:02,Slovakia,phone,Samsung Internet 11.1,Android 8.0.0,4,
889,0,25/03/2020 12:17,Slovakia,desktop,Edge 18.18362,Windows 10,5,
890,0,25/03/2020 12:24,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
891,0,25/03/2020 12:28,Slovakia,desktop,IE 11.0,Windows 10,5,
892,0,25/03/2020 12:29,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
893,0,25/03/2020 12:49,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.1.0,4,
894,0,25/03/2020 12:49,Slovakia,desktop,Chrome 80.0.3987,Windows 7,4,posielam vela SMS
895,0,25/03/2020 13:01,Slovakia,desktop,Firefox 74.0,Windows 10,,
896,0,25/03/2020 13:07,Slovakia,phone,Chrome Mobile iOS 80.0.3987,iOS 13.3,3,Malo dat
897,0,25/03/2020 13:37,Slovakia,desktop,Chrome 49.0.2623,Windows XP,3,
898,0,25/03/2020 13:38,Slovakia,tablet,Chrome 80.0.3987,Android 8.0.0,5,"cena., data sluzby,
"
899,0,25/03/2020 13:38,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
900,0,25/03/2020 13:43,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,Malo dat.
